Campanha;Grupo de anuncio;Tipo;Keyword;Correspondencia;Buscas/mes BR;Lance min (R$);Lance max (R$);Estagio;Prioridade;Observacao
Search BDC;SAP BDC;Keyword;sap bdc;Exata + Frase;390;1,44;33,3;2 Exploracao;Alta;Maior volume do nucleo BDC
Search BDC;SAP BDC;Keyword;sap business data cloud;Exata + Frase;90;6,09;53,18;2 Exploracao;Alta;Lance alto: disputa com a propria SAP
Search BDC;SAP BDC;Keyword;business data cloud;Frase;30;;;2 Exploracao;Media;
Search BDC;Datasphere;Keyword;sap datasphere;Exata + Frase;320;4,88;41,58;2 Exploracao;Alta;
Search BDC;SAC;Keyword;sap analytics cloud;Exata + Frase;390;2,45;25,59;2 Exploracao;Alta;Historico: 114 impressoes, 4 cliques, 0 conv
Search BDC;SAC;Keyword;sac sap;Exata;210;2,91;18,03;2 Exploracao;Media;
Search BDC;SAC;Keyword;analytics sap;Exata;110;4,38;21,15;2 Exploracao;Media;Competicao media
Search BDC;SAC;Keyword;sac planning sap;Frase;30;4,53;21,64;2 Exploracao;Media;Ponte para FP&A
Search BDC;BDC + Databricks;Keyword;sap databricks;Exata + Frase;50;8,82;37,87;2 Exploracao;Alta;Publico tecnico com projeto
Search BDC;BDC + Databricks;Keyword;sap bdc databricks;Frase;10;;;2 Exploracao;Media;
Search BDC;BW e migracao;Keyword;sap bw 4hana;Exata + Frase;30;3,36;10,23;2 Exploracao;Alta;Gatilho BW 2027
Search BDC;BW e migracao;Keyword;sap bw 7.5;Frase;10;;;1 Dor;Media;Gatilho BW 2027
Search BDC;BW e migracao;Keyword;sap bw;Exata;;;;1 Dor;Media;Termo curto: monitorar termos de pesquisa
Search BDC;Consultoria SAP dados;Keyword;parceiro sap;Exata;70;3,99;26,18;3 Avaliacao;Media;Competicao alta
Search BDC;Consultoria SAP dados;Keyword;consultoria sap analytics;Frase;<10;;;3 Avaliacao;Media;Volume baixo, intencao alta
Search BDC;Consultoria SAP dados;Keyword;consultoria sap datasphere;Frase;<10;;;3 Avaliacao;Media;Volume baixo, intencao alta
Search BDC;Consultoria SAP dados;Keyword;consultoria sap;Exata (so com RLSA);1000;2,0;25,59;3 Avaliacao;Teste;Generico: usar apenas com publico de remarketing
Search BDC;SAP Joule (teste);Keyword;sap joule;Exata;390;4,2;22,94;1 Dor;Teste;Angulo: Joule depende de dado organizado
Search BDC;SAP Joule (teste);Keyword;sap business ai;Exata;50;4,64;37,07;1 Dor;Teste;
Search BDC;Consolidacao (opcional);Keyword;sap group reporting;Exata;50;3,26;21,32;2 Exploracao;Baixa;Gap de conteudo sem concorrente
Marca;Solveplan;Keyword;solveplan;Exata + Frase;390;;;4 Validacao;Alta;Nao existe campanha de marca hoje
Demand Gen Alcance;Segmento busca SAP dados;Publico;Segmento personalizado: sap bdc, sap business data cloud, sap datasphere, sap databricks, sap bw 4hana, sap analytics cloud;—;;;;1 Dor / 2 Exploracao;Alta;Alimenta listas. Verba SAP
Demand Gen Alcance;Segmento busca SAP dados;Publico;Segmento por URL: paginas de BDC, Datasphere e Databricks (sap.com, databricks.com);—;;;;1 Dor / 2 Exploracao;Alta;Alimenta listas. Verba SAP
Remarketing;Visitantes BDC 1-14d;Publico;Visitou /sap-business-data-cloud/ ou /sap-datasphere/ sem converter, ultimos 14 dias;—;;;;5 Remarketing;Alta;RLSA +50% e Demand Gen. Destino: LP diagnostico
Remarketing;Visitantes BDC 15-90d;Publico;Mesma lista, 15 a 90 dias;—;;;;5 Remarketing;Alta;Demand Gen e LinkedIn. Mensagem de prova (Klabin, premio)
Remarketing;Video 50%+;Publico;Assistiu 50%+ do video do Demand Gen, ultimos 30 dias;—;;;;5 Remarketing;Alta;Demand Gen e RLSA
Remarketing;LP diagnostico sem agendar;Publico;Visitou LP de diagnostico e nao agendou, ultimos 30 dias;—;;;;5 Remarketing;Alta;RLSA +100%. Mensagem de objecao
Remarketing;Leads eventos H1;Publico;Customer Match: 95 leads hot/warm dos eventos H1;—;;;;5 Remarketing;Alta;Depende de elegibilidade. Alternativa: LinkedIn Matched Audiences
Todas;Exclusao;Publico;Clientes ativos + quem ja agendou diagnostico;—;;;;—;Alta;Excluir em todas as campanhas
