"type","url","page_title","title_len","meta_len","h1_count","img_total","img_no_alt","alt_pct","internal_links","schema_types","blogposting_incorreto","tech_score_30"
"pages","https://solveplan.com/acompanhamento-de-despesas/","Acompanhamento de Despesas","38","156","0","8","8","0%","41","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","9"
"pages","https://solveplan.com/planejamento-de-opex/","Planejamento de OPEX","32","156","0","9","9","0%","41","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","9"
"pages","https://solveplan.com/sap-business-data-cloud/","SAP BUSINESS DATA CLOUD","35","158","0","8","8","0%","41","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","9"
"pages","https://solveplan.com/agro-graos/","Agro Grãos","22","156","0","9","9","0%","41","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","9"
"pages","https://solveplan.com/dashboard/","Dashboard","21","157","0","8","8","0%","41","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","9"
"pages","https://solveplan.com/servicos/","Serviços","20","158","0","15","14","7%","41","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","9,4"
"pages","https://solveplan.com/planejamento/","Planejamento","24","158","0","8","7","12%","41","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","9,7"
"pages","https://solveplan.com/agro-usinas/","Agro Usinas","23","157","0","9","8","11%","41","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","9,7"
"pages","https://solveplan.com/analytics/","Analytics","21","9","0","9","8","11%","41","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","9,7"
"pages","https://solveplan.com/cases-abertos/","Cases Abertos","25","14","0","9","8","11%","42","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","9,7"
"pages","https://solveplan.com/cases/","Cases","17","16","0","12","9","25%","45","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","10,5"
"pages","https://solveplan.com/planejamento-de-rh/","Planejamento de RH","30","98","0","11","8","27%","41","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","10,6"
"pages","https://solveplan.com/sap-datasphere/","SAP DATASPHERE","26","156","0","16","9","44%","41","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","11,6"
"pages","https://solveplan.com/solve-watch-gestao-sap-datasphere/","Solve Watch: Gestão Inteligente para SAP Datasphere","74","188","0","20","10","50%","42","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting;FAQPage;Question;Answer","True","12"
"pages","https://solveplan.com/historias-classicas/","Histórias clássicas","31","154","0","9","9","0%","41","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","12"
"pages","https://solveplan.com/privacy-policy/","Política de Privacidade","35","148","0","8","8","0%","42","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","12"
"pages","https://solveplan.com/responsabilidade-e-disclosure/","Responsabilidade e Disclosure","41","151","0","8","8","0%","41","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","12"
"pages","https://solveplan.com/fabrica-de-bi/","FÁBRICA DE BI","25","155","0","9","9","0%","41","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","12"
"pages","https://solveplan.com/consolidacao-contabil/","CONSOLIDAÇÃO CONTÁBIL","33","155","0","9","9","0%","41","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","12"
"pages","https://solveplan.com/planejamento-e-simulacao/","PLANEJAMENTO E SIMULAÇÃO","36","147","0","9","9","0%","41","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","12"
"pages","https://solveplan.com/sap-profitability-and-performance-management/","SAP PROFITABILITY AND PERFORMANCE MANAGEMENT","56","156","0","8","8","0%","41","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","12"
"pages","https://solveplan.com/termos-de-uso/","Termos de uso","25","149","0","8","8","0%","41","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","12"
