Prioridade,Item,Pontos a Ganhar,Dificuldade,O que fazer,Onde mudar no WordPress
1,Adicionar H1,+7,Fácil,Transformar o heading "SAP DATASPHERE" (atualmente H2) no único H1 da página. Manter a keyword principal.,Editor Elementor da página (ID 9907) > widget de heading "SAP DATASPHERE" > trocar tag HTML de H2 para H1
2,Criar seção de FAQ com schema,+10,Médio,"Adicionar 4-5 perguntas reais de quem busca 'o que é datasphere' e variações (ex: O que é o SAP Datasphere? Qual a diferença entre SAP Datasphere e SAP BW? O SAP Datasphere substitui o Data Warehouse Cloud?). Usar o componente FAQ com schema FAQPage já documentado na skill wordpress.",Widget HTML do Elementor na página + Rank Math (schema FAQPage é gerado automaticamente pelo bloco FAQ do Rank Math, ou usar o snippet HTML da skill wordpress com JSON-LD manual)
3,Reescrever headings como perguntas,+7,Médio,"Trocar pelo menos 2 H2s de rótulo para pergunta: 'Antes do DataSphere' -> 'Por que o SAP BW não é mais suficiente?'; 'O avanço: SAP DataSphere' -> 'O que o SAP Datasphere resolve que o DWC não resolvia?'",Editor Elementor > widgets de heading de cada seção
4,Adicionar alt text em todas as imagens,+3,Fácil,"Preencher o atributo alt de cada imagem com descrição real (ex: logo, carrossel de clientes, imagem de topo) em vez de deixar vazio.",Editor Elementor > cada widget de imagem > painel Content > campo 'Alternative Text' (ou Biblioteca de Mídia > Editar imagem > Texto Alternativo)
5,Corrigir tipo de schema,+2,Médio,Trocar o schema gerado de BlogPosting para Service ou WebPage — a página é de solução/produto, não um post de blog.,Rank Math > editar página > aba Schema > trocar tipo de 'Article' para 'Service' (ou 'WebPage' se Service não disponível para o tipo de conteúdo)
6,Adicionar prova social e credenciais no corpo do texto,+2,Fácil,"Incluir no texto: 'A Solveplan é parceira SAP Gold e Melhor Parceiro SAP Business Data Cloud 2026 na América Latina, com 150+ empresas atendidas.'",Editor Elementor > widget de texto próximo ao parágrafo de definição do SAP Datasphere
7,Adicionar bloco de featured snippet correto,+4,Fácil,"Reformular o H2 'SAP DATASPHERE' para 'O que é o SAP Datasphere?' e manter o parágrafo de definição logo abaixo (já tem ~44 palavras, ideal).",Editor Elementor > heading da seção de definição
8,Adicionar links internos contextuais no corpo,+1,Fácil,"Linkar 'SAP Analytics Cloud' e 'consolidação contábil' no texto para as respectivas páginas de solução, além dos links de rodapé.",Editor Elementor > widgets de texto > adicionar link em menções de outros produtos/serviços
9,Adicionar dado/fonte externa e menção de mercado,+2,Fácil,"Citar uma fonte (Gartner/IDC sobre adoção de data fabric, por exemplo) e mencionar atuação na América Latina.",Editor Elementor > widget de texto na seção de contexto
10,Rodar PageSpeed Insights manualmente,+até 20,Fácil,Verificar score mobile/desktop e Core Web Vitals (LCP/CLS) em pagespeed.web.dev e aplicar ajustes de performance conforme checklist da skill wordpress.,pagespeed.web.dev/analysis?url=https://solveplan.com/sap-datasphere/
