"type","id","url","page_title","title_tag","title_len","meta_description","meta_len","canonical","h1_count","h1_text","h2_count","h2_questions","h3_count","h3_questions","schema_types","has_faq_schema","has_faq_text","img_total","img_no_alt","internal_links","external_links","error"
"pages","11059","https://solveplan.com/solve-watch-gestao-sap-datasphere/","Solve Watch: Gestão Inteligente para SAP Datasphere","Solve Watch: Gestao Inteligente para SAP Datasphere em 30 Dias | Solveplan","74","Solve Watch e a plataforma da Solveplan que usa IA para diagnosticar seu ambiente SAP Datasphere, priorizar riscos e entregar recomendacoes validadas por arquitetos. Resultados em 30 dias.","188","https://solveplan.com/solve-watch-gestao-sap-datasphere/","0","","20","2","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting;FAQPage;Question;Answer","True","True","20","10","42","4",""
"pages","9944","https://solveplan.com/sap-profitability-and-performance-management/","SAP PROFITABILITY AND PERFORMANCE MANAGEMENT","SAP PROFITABILITY AND PERFORMANCE MANAGEMENT - Solveplan","56","O SAP Profitability and Performance Management permite às empresas analisarem rentabilidade com profundidade, agilidade e precisão. Com tecnologia de ponta,","156","https://solveplan.com/sap-profitability-and-performance-management/","0","","12","0","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","8","8","41","4",""
"pages","9938","https://solveplan.com/fabrica-de-bi/","FÁBRICA DE BI","FÁBRICA DE BI - Solveplan","25","A Solveplan oferece soluções de Business Intelligence adaptadas à realidade de cada empresa. Unimos tecnologias como SAP Analytics Cloud e DataSphere a uma","155","https://solveplan.com/fabrica-de-bi/","0","","10","0","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","9","9","41","3",""
"pages","9928","https://solveplan.com/planejamento-e-simulacao/","PLANEJAMENTO E SIMULAÇÃO","PLANEJAMENTO E SIMULAÇÃO - Solveplan","36","A solução de planejamento da Solveplan com SAP Analytics Cloud transforma dados em previsões estratégicas. Com análise preditiva, BI e planejamento","147","https://solveplan.com/planejamento-e-simulacao/","0","","10","1","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","9","9","41","3",""
"pages","9922","https://solveplan.com/consolidacao-contabil/","CONSOLIDAÇÃO CONTÁBIL","CONSOLIDAÇÃO CONTÁBIL - Solveplan","33","A solução de consolidação da Solveplan reúne automação, flexibilidade e inteligência em um só ambiente. Com ela, é possível agilizar o fechamento contábil,","155","https://solveplan.com/consolidacao-contabil/","0","","8","0","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","9","9","41","4",""
"pages","9913","https://solveplan.com/sap-business-data-cloud/","SAP BUSINESS DATA CLOUD","SAP BUSINESS DATA CLOUD - Solveplan","35","Unifique e governe todos os seus dados críticos com a solução SaaS que conecta dados SAP e de terceiros para impulsionar a inovação e a eficiência operacional","158","https://solveplan.com/sap-business-data-cloud/","0","","12","0","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","8","8","41","4",""
"pages","9907","https://solveplan.com/sap-datasphere/","SAP DATASPHERE","SAP DATASPHERE - Solveplan","26","O SAP Datasphere transforma dados fragmentados em uma estrutura unificada e eficiente. A Solveplan apoia sua implementação e customização, garantindo acesso","156","https://solveplan.com/sap-datasphere/","0","","11","0","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","16","9","41","3",""
"pages","9297","https://solveplan.com/eventos/","Eventos","Eventos - Solveplan","19","Eventos Search","14","https://solveplan.com/eventos/","1","Eventos","12","0","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","16","13","49","3",""
"pages","9275","https://solveplan.com/noticias/","Notícias","Notícias - Solveplan","20","Notícias Search","15","https://solveplan.com/noticias/","1","Notícias","9","0","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","13","11","46","3",""
"pages","1765","https://solveplan.com/responsabilidade-e-disclosure/","Responsabilidade e Disclosure","Responsabilidade e Disclosure - Solveplan","41","Na Solveplan, consideramos a segurança de nossos sistemas prioridade máxima. Não importa quanto estamos atentos com a segurança do sistema, ainda podem","151","https://solveplan.com/responsabilidade-e-disclosure/","0","","5","0","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","8","8","41","3",""
"pages","1759","https://solveplan.com/cookies/","Cookies","Cookies - Solveplan","19","Um arquivo de texto que armazena informações como sua preferência de idioma para um site. Quando você visita o site novamente mais tarde, esse cookie é","151","https://solveplan.com/cookies/","0","","5","0","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","8","8","41","9",""
"pages","1701","https://solveplan.com/termos-de-uso/","Termos de uso","Termos de uso - Solveplan","25","A SOLVEPLAN declara que o tratamento de dados pessoais de clientes, parceiros, corpo de funcionário e prestadores de serviço durante e após a relação","149","https://solveplan.com/termos-de-uso/","0","","5","0","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","8","8","41","3",""
"pages","929","https://solveplan.com/acompanhamento-de-despesas/","Acompanhamento de Despesas","Acompanhamento de Despesas - Solveplan","38","Mantenha o orçamento sob controle com inteligência, precisão e tecnologia de ponta. Com as soluções da Solveplan, você acompanha em tempo real o comparativo","156","https://solveplan.com/acompanhamento-de-despesas/","0","","10","1","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","8","8","41","3",""
"pages","926","https://solveplan.com/dashboard/","Dashboard","Dashboard - Solveplan","21","Ganhe clareza total em tempo real. Com os dashboards da Solveplan, você transforma dados complexos em insights estratégicos, organizando KPIs e relatórios em","157","https://solveplan.com/dashboard/","0","","9","1","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","8","8","41","3",""
"pages","923","https://solveplan.com/agro-graos/","Agro Grãos","Agro Grãos - Solveplan","22","Com o aumento contínuo no custo dos insumos, a variação nos preços das commodities e a pressão por margens mais saudáveis, o planejamento agrícola deixou de","156","https://solveplan.com/agro-graos/","0","","7","2","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","9","9","41","3",""
"pages","878","https://solveplan.com/agro-usinas/","Agro Usinas","Agro Usinas - Solveplan","23","Custos operacionais, mercado instável e pressão por resultados exigem das usinas uma nova abordagem no planejamento. Nossa solução integra ERP agrícola e SAP","157","https://solveplan.com/agro-usinas/","0","","6","1","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","9","8","41","3",""
"pages","873","https://solveplan.com/blog/","Blog","Blog - Solveplan","16","","0","https://solveplan.com/blog/","0","","6","0","10","1","Place;PostalAddress;Organization;ImageObject;WebSite;CollectionPage","False","False","18","8","54","3",""
"pages","810","https://solveplan.com/investimentos/","INVESTIMENTOS","INVESTIMENTOS - Solveplan","25","Automatize o planejamento de investimentos com controle total dos projetos, unindo projeções financeiras, análise de CAPEX e decisões mais ágeis com dados","154","https://solveplan.com/investimentos/","0","","9","1","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","8","7","41","3",""
"pages","769","https://solveplan.com/planejamento-de-opex/","Planejamento de OPEX","Planejamento de OPEX - Solveplan","32","Impulsione a eficiência do seu negócio com um planejamento robusto, dinâmico e conectado aos objetivos estratégicos da empresa. A solução de Planejamento de","156","https://solveplan.com/planejamento-de-opex/","0","","6","0","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","9","9","41","3",""
"pages","729","https://solveplan.com/historias-classicas/","Histórias clássicas","Histórias clássicas - Solveplan","31","A SAP anunciou a descontinuação das Histórias Clássicas no SAP Analytics Cloud e essa mudança pode impactar diretamente análises, ciclos de planejamento e","154","https://solveplan.com/historias-classicas/","0","","9","1","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","9","9","41","4",""
"pages","691","https://solveplan.com/people-analytics/","PEOPLE ANALYTICS","PEOPLE ANALYTICS - Solveplan","28","Uma gestão de pessoas baseada em dados permite decisões mais estratégicas e direcionadas. Com indicadores confiáveis e relatórios visuais, o RH evolui com","154","https://solveplan.com/people-analytics/","0","","15","2","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","8","7","41","3",""
"pages","667","https://solveplan.com/planejamento-de-rh/","Planejamento de RH","Planejamento de RH - Solveplan","30","Com a Solveplan, o RH atua com mais estratégia, menos esforço manual e total controle dos números.","98","https://solveplan.com/planejamento-de-rh/","0","","10","1","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","11","8","41","3",""
"pages","632","https://solveplan.com/consolidacao/","Consolidação","Consolidação - Solveplan","24","Com o SAP Group Reporting e SAP Analytics Cloud conjugados com a expertise da Solveplan, a consolidação financeira ganha agilidade, precisão e governança.","154","https://solveplan.com/consolidacao/","0","","9","1","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","9","8","41","4",""
"pages","603","https://solveplan.com/planejamento/","Planejamento","Planejamento - Solveplan","24","Planejar é antecipar, direcionar e executar com inteligência. Com a solução SAP Analytics Cloud, sua empresa projeta cenários, alinha estratégias e transforma","158","https://solveplan.com/planejamento/","0","","9","1","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","8","7","41","3",""
"pages","441","https://solveplan.com/analytics/","Analytics","Analytics - Solveplan","21","Analytics","9","https://solveplan.com/analytics/","0","","10","1","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","9","8","41","3",""
"pages","381","https://solveplan.com/aceleradores/","Aceleradores","Aceleradores - Solveplan","24","Transforme dados em decisões inteligentes com o SAP Analytics Cloud integrando análise preditiva, planejamento estratégico e visualização em tempo real","151","https://solveplan.com/aceleradores/","1","ACELERADORES","17","0","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","20","19","41","3",""
"pages","362","https://solveplan.com/cases-abertos/","Cases Abertos","Cases Abertos - Solveplan","25","matrix Energia","14","https://solveplan.com/cases-abertos/","0","","13","0","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","9","8","42","3",""
"pages","329","https://solveplan.com/cases/","Cases","Cases - Solveplan","17","Cases de Sucesso","16","https://solveplan.com/cases/","0","","9","0","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","12","9","45","3",""
"pages","298","https://solveplan.com/contato/","Contato","Contato - Solveplan","19","CONTATO","7","https://solveplan.com/contato/","0","","6","1","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;ContactPage","False","False","8","7","41","3",""
"pages","235","https://solveplan.com/servicos/","Serviços","Serviços - Solveplan","20","Unifique e governe todos os seus dados críticos com a solução SaaS que conecta dados SAP e de terceiros para impulsionar a inovação e a eficiência operacional","158","https://solveplan.com/servicos/","0","","13","0","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","15","14","41","3",""
"pages","141","https://solveplan.com/sobre-nos/","Sobre Nós","Sobre Nós - Solveplan","21","Sobre Nós","9","https://solveplan.com/sobre-nos/","0","","25","0","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;AboutPage","False","False","32","14","41","11",""
"pages","7","https://solveplan.com/","Home","Home - Solveplan","16","Soluções SAP para decisões mais inteligentes","44","https://solveplan.com/","0","","14","0","4","0","Place;PostalAddress;Organization;ImageObject;WebSite;SearchAction;WebPage;Person;BlogPosting","False","False","31","10","45","3",""
"pages","3","https://solveplan.com/privacy-policy/","Política de Privacidade","Política de Privacidade - Solveplan","35","A SOLVEPLAN compromete-se a proteger a privacidade de todos os dados/informações obtidos dos clientes, parceiros e fornecedores nos termos da Lei nº","148","https://solveplan.com/privacy-policy/","0","","5","0","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","False","8","8","42","3",""
"posts","11311","https://solveplan.com/blog/gestao-de-ambientes-sap-datasphere/","Gestão de ambientes SAP Datasphere: por que a tela nativa mostra o sintoma, mas não resolve o problema","Gestão de ambientes SAP Datasphere: 3 telas que não bastam | Solveplan","70","Gestão de ambientes SAP Datasphere vai além do monitoramento nativo. Veja por que a tela mostra o sintoma e o que falta para gestão ativa.","138","https://solveplan.com/blog/gestao-de-ambientes-sap-datasphere/","1","Gestão de ambientes SAP Datasphere: por que a tela nativa mostra o sintoma, mas não resolve o problema","11","1","0","0","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","True","9","7","51","4",""
